Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Corregido,ratiom,CorregidoMunicipios,ratioMunnicpios,Fecha
"Baja 
California ",Tijuana,4.0,4.0,0.0,0.0,Baja California,97,Tijuana,100,2020-01-31
Chiapas ,Acacoyagua,1.0,1.0,0.0,0.0,Chiapas,100,Acacoyagua,100,2020-01-31
"Chihuahua 
","Guadalupe y 
Calvo",3.0,3.0,0.0,0.0,Chihuahua,100,Guadalupe Y Calvo,97,2020-01-31
"Chihuahua 
",Juárez,10.0,8.0,1.0,1.0,Chihuahua,100,Juárez,100,2020-01-31
"Chihuahua 
","Nuevo Casas 
Grandes",2.0,2.0,0.0,0.0,Chihuahua,100,Nuevo Casas Grandes,97,2020-01-31
"Chihuahua 
",Rosales,1.0,1.0,0.0,0.0,Chihuahua,100,Rosales,100,2020-01-31
"Ciudad de 
México ",Iztapalapa,1.0,0.0,0.0,1.0,Ciudad de México,97,Iztapalapa,100,2020-01-31
Colima ,Armería,1.0,1.0,0.0,0.0,Colima,100,Armería,100,2020-01-31
"Guanajuato 
",Acámbaro,1.0,0.0,1.0,0.0,Guanajuato,100,Acámbaro,100,2020-01-31
"Guanajuato 
",Comonfort,1.0,1.0,0.0,0.0,Guanajuato,100,Comonfort,100,2020-01-31
"Guanajuato 
",Cortazar,2.0,0.0,0.0,2.0,Guanajuato,100,Cortazar,100,2020-01-31
"Guanajuato 
",León,3.0,2.0,0.0,1.0,Guanajuato,100,León,100,2020-01-31
Guerrero ,"Iguala de la 
Independencia",1.0,1.0,0.0,0.0,Guerrero,100,Iguala De La Independencia,98,2020-01-31
Guerrero ,"San Luis 
Acatlán",1.0,1.0,0.0,0.0,Guerrero,100,San Luis Acatlán,97,2020-01-31
Hidalgo ,"Huejutla de 
Reyes",1.0,1.0,0.0,0.0,Hidalgo,100,Huejutla De Reyes,97,2020-01-31
Jalisco ,Guadalajara,1.0,0.0,1.0,0.0,Jalisco,100,Guadalajara,100,2020-01-31
"Michoacán 
de Ocampo 
",Buenavista,1.0,1.0,0.0,0.0,Michoacán,90,Buenavista,100,2020-01-31
"Michoacán 
de Ocampo 
",Morelia,2.0,2.0,0.0,0.0,Michoacán,90,Morelia,100,2020-01-31
"Michoacán 
de Ocampo 
",Zamora,2.0,2.0,0.0,0.0,Michoacán,90,Zamora,100,2020-01-31
Morelos ,Coatlán del Río,1.0,1.0,0.0,0.0,Morelos,100,Coatlán Del Río,100,2020-01-31
Morelos ,Cuernavaca,2.0,2.0,0.0,0.0,Morelos,100,Cuernavaca,100,2020-01-31
"Nuevo León 
",Guadalupe,2.0,2.0,0.0,0.0,Nuevo León,100,Guadalupe,100,2020-01-31
"Nuevo León 
",Santa Catarina,1.0,1.0,0.0,0.0,Nuevo León,100,Santa Catarina,100,2020-01-31
Oaxaca ,"San Juan 
Bautista 
Tuxtepec",1.0,1.0,0.0,0.0,Oaxaca,100,San Juan Bautista Tuxtepec,96,2020-01-31
Oaxaca ,"San Juan 
Cotzocón",2.0,2.0,0.0,0.0,Oaxaca,100,San Juan Cotzocón,97,2020-01-31
Oaxaca ,San Pablo Etla,1.0,1.0,0.0,0.0,Oaxaca,100,San Pablo Etla,100,2020-01-31
Oaxaca ,Unión Hidalgo,1.0,1.0,0.0,0.0,Oaxaca,100,Unión Hidalgo,100,2020-01-31
Puebla ,Tecamachalco,1.0,0.0,1.0,0.0,Puebla,100,Tecamachalco,100,2020-01-31
"Quintana 
Roo ",Benito Juárez,2.0,1.0,0.0,1.0,Quintana Roo,96,Benito Juárez,100,2020-01-31
"Quintana 
Roo ","Othón P. 
Blanco",2.0,2.0,0.0,0.0,Quintana Roo,96,Othón P. Blanco,97,2020-01-31
"Quintana 
Roo ",Tulum,1.0,1.0,0.0,0.0,Quintana Roo,96,Tulum,100,2020-01-31
Sinaloa ,Culiacán,2.0,1.0,1.0,0.0,Sinaloa,100,Culiacán,100,2020-01-31
Sonora ,Cajeme,2.0,2.0,0.0,0.0,Sonora,100,Cajeme,100,2020-01-31
Tabasco ,Centro,1.0,1.0,0.0,0.0,Tabasco,100,Centro,100,2020-01-31
"Tamaulipas 
",Reynosa,1.0,1.0,0.0,0.0,Tamaulipas,100,Reynosa,100,2020-01-31
"Veracruz de 
Ignacio de la 
Llave ",Cosoleacaque,1.0,1.0,0.0,0.0,Veracruz,90,Cosoleacaque,100,2020-01-31
"Veracruz de 
Ignacio de la 
Llave ",Cotaxtla,2.0,2.0,0.0,0.0,Veracruz,90,Cotaxtla,100,2020-01-31
"Veracruz de 
Ignacio de la 
Llave ",Papantla,2.0,0.0,2.0,0.0,Veracruz,90,Papantla,100,2020-01-31
